x,y
0.336472237,1.193922468
1.098612289,1.098612289
0.832909123,0.993251773
0.832909123,1.064710737
2.312535424,2.687847494
0.530628251,0.717839793
1.30833282,1.029619417
0.78845736,0.993251773
0.587786665,0.832909123
0.832909123,0.993251773
0.955511445,0.78845736
2.701361213,2.827313622
3.095577609,3.280911216
0.875468737,0.693147181
0.405465108,0.741937345
0.470003629,0.832909123
2.197224577,2.2300144
0.438254931,0.693147181
0.78845736,1.131402111
1.987874348,2.240709689
0.336472237,0.693147181
1.064710737,0.832909123
0.530628251,0.693147181
1.740466175,1.722766598
3.669186821,3.772760938
0.641853886,1.098612289
2.587764035,2.850706502
0.336472237,0.530628251
1.280933845,1.526056303
0.741937345,0.875468737
2.116255515,2.302585093
3.0301337,3.33220451
1.280933845,1.280933845
1.481604541,1.360976553
3.010620886,3.325036021
0.916290732,0.875468737
2.379546134,2.406945108
0.993251773,0.955511445
0.693147181,0.693147181
0.693147181,0.717839793
3.602776755,3.511545439
0.587786665,0.916290732
-1.139434283,-0.916290732
-1.386294361,-1.272965676
-0.820980552,-0.94160854
-1.108662625,-1.021651248
-1.347073648,-1.386294361
-1.966112856,-1.609437912
-1.108662625,-0.994252273
-1.347073648,-1.30933332
-1.272965676,-1.171182982
-1.897119985,-1.609437912
-1.966112856,-1.514127733
-0.274436846,-0.314710745
-0.562118918,-0.478035801
-0.061875404,0.09531018
0.262364264,0.336472237
-1.049822124,-1.171182982
-1.427116356,-0.967584026
-0.713349888,-0.356674944
-1.609437912,-1.386294361
-0.356674944,-0.186329578
-1.897119985,-1.560647748
-1.514127733,-1.237874356
